language_code,name
bg,Европейски съюз
cs,Evropské unie
da,Den Europæiske Union
de,Europäischen Union
et,Euroopa Liit
el,Ευρωπαϊκή Ένωση
en,European Union
es,Unión Europea
fi,Euroopan unioni
fr,Union européenne
ga,an tAontas Eorpach
hr,Europska unija
it,Unione europea
lt,Europos Sąjunga
lv,Eiropas Savienība
hu,Európai Unió
mt,L-Unjoni Ewropea
nl,Europese Unie
pl,Unia Europejska
pt,União Europeia
ro,Uniunea Europeană
sl,Evropske unija
sk,Európska únia
sv,Europeiska unionen
