city_id,language_code,name
helsinki,sk,Helsinki
helsinki,sl,Helsinki
helsinki,sv,Helsingfors
lisbon,bg,Лисабон
lisbon,cs,Lisabon
lisbon,da,Lissabon
lisbon,de,Lissabon
lisbon,el,Λισαβόνα
lisbon,en,Lisbon
lisbon,es,Lisboa
lisbon,et,Lissabon
lisbon,fi,Lissabon
lisbon,fr,Lisbonne
lisbon,ga,Liospóin
lisbon,hr,Lisabon
lisbon,hu,Lisszabon
lisbon,it,Lisbona
lisbon,lt,Lisabona
lisbon,lv,Lisabona
lisbon,mt,Lisbona
lisbon,nl,Lissabon
lisbon,pl,Lizbona
lisbon,pt,Lisboa
lisbon,ro,Lisabona
lisbon,sk,Lisabon
lisbon,sl,Lizbona
lisbon,sv,Lissabon
ljubljana,bg,Любляна
ljubljana,cs,Lublaň
ljubljana,da,Ljubljana
ljubljana,de,Ljubljana
ljubljana,el,Λιουμπλιάνα
ljubljana,en,Ljubljana
ljubljana,es,Liubliana
ljubljana,et,Ljubljana
ljubljana,fi,Ljubljana
ljubljana,fr,Ljubljana
ljubljana,ga,Liúibleána
ljubljana,hr,Ljubljana
ljubljana,hu,Ljubljana
ljubljana,it,Lubiana
ljubljana,lt,Liubliana
ljubljana,lv,Ļubļana
ljubljana,mt,Ljubljana
ljubljana,nl,Ljubljana
ljubljana,pl,Lublana
ljubljana,pt,Liubliana
ljubljana,ro,Ljubljana
ljubljana,sk,Ljubljana
ljubljana,sl,Ljubljana
ljubljana,sv,Ľubľana
london,bg,Лондон
london,cs,Londýn
london,da,London
london,de,London
london,el,Λονδίνο
london,en,London
london,es,Londres
london,et,London
london,fi,Lontoo
london,fr,Londres
london,ga,Londain
london,hr,London
london,hu,London
london,it,Londra
london,lt,Londonas
london,lv,Londona
london,mt,Londra
london,nl,Londen
london,pl,Londyn
london,pt,Londres
london,ro,Londra
london,sk,Londýn
london,sl,London
london,sv,London
luxembourg,bg,Люксембург
luxembourg,cs,Lucemburk
luxembourg,da,Luxembourg
luxembourg,de,Luxemburg
luxembourg,el,Λουξεμβούργο
luxembourg,en,Luxembourg
luxembourg,es,Luxemburgo
luxembourg,et,Luxembourg
luxembourg,fi,Luxemburg
luxembourg,fr,Luxembourg
luxembourg,ga,Lucsamburg
luxembourg,hr,Luxembourg
luxembourg,hu,Luxembourg
luxembourg,it,Lussemburgo
luxembourg,lt,Liuksemburgas
luxembourg,lv,Luksemburga
luxembourg,mt,Il-Lussemburgu
luxembourg,nl,Luxemburg
luxembourg,pl,Luksemburg
luxembourg,pt,Luxemburgo
luxembourg,ro,Luxemburg
luxembourg,sk,Luxemburg
luxembourg,sl,Luxembourg
luxembourg,sv,Luxemburg
madrid,bg,Мадрид
madrid,cs,Madrid
madrid,da,Madrid
madrid,de,Madrid
madrid,el,Μαδρίτη
madrid,en,Madrid
madrid,es,Madrid
madrid,et,Madrid
madrid,fi,Madrid
madrid,fr,Madrid
madrid,ga,Maidrid
madrid,hr,Madrid
madrid,hu,Madrid
madrid,it,Madrid
madrid,lt,Madridas
madrid,lv,Madride
madrid,mt,Madrid
madrid,nl,Madrid
madrid,pl,Madryt
madrid,pt,Madrid
madrid,ro,Madrid
madrid,sk,Madrid
madrid,sl,Madrid
madrid,sv,Madrid
nicosia,bg,Никозия
nicosia,cs,Nikósie
nicosia,da,Nicosia
nicosia,de,Nikosia
nicosia,el,Λευκωσία
nicosia,en,Nicosia
nicosia,es,Nicosia
nicosia,et,Nikosia
nicosia,fi,Nikosia
nicosia,fr,Nicosie
nicosia,ga,an Niocóis
nicosia,hr,Nikozija
nicosia,hu,Nicosia
nicosia,it,Nicosia
nicosia,lt,Nikosija
nicosia,lv,Nikozija
nicosia,mt,Nikosija
nicosia,nl,Nicosia
nicosia,pl,Nikozja
nicosia,pt,Nicósia
nicosia,ro,Nicosia
nicosia,sk,Nikózia
nicosia,sl,Nikozija
nicosia,sv,Nicosia
paris,bg,Париж
paris,cs,Paříž
paris,da,Paris
paris,de,Paris
paris,el,Παρίσι
paris,en,Paris
paris,es,París
paris,et,Pariis
paris,fi,Pariisi
paris,fr,Paris
paris,ga,Páras
paris,hr,Pariz
paris,hu,Párizs
